id,0,idReviewer,1,idLeaflet,2,clozeField1,3,clozeField2,4,clozeField3,5,clozeField4,6,clozeField5,7,clozeField6,8,clozeField7,9,clozeField8,10,clozeField9,11,clozeField10,12,clozeField11,13,clozeField12,14,clozeField13,15,clozeField14,16,clozeField15,17,clozeField16,18,clozeField17,19,clozeField18,20,clozeField19,21,clozeField20,22,clozeField21,23,clozeField22,24,clozeField23,25,clozeField24,26,clozeField25,27,clozeField26,28,clozeField27,29,clozeField28,30,clozeField29,31,clozeField30,32,clozeField31,33,clozeField32,34,cAns1,35,cAns2,36,cAns3,37,cAns4,38,cAns5,39,cAns6,40,cAns7,41,cAns8,42,cAns9,43,cAns10,44,cAns11,45,cAns12,46,cAns13,47,cAns14,48,cAns15,49,cAns16,50,cAns17,51,cAns18,52,cAns19,53,cAns20,54,cAns21,55,cAns22,56,cAns23,57,cAns24,58,cAns25,59,cAns26,60,cAns27,61,cAns28,62,cAns29,63,cAns30,64,cAns31,65,cAns32,66,flag,67
90,90,sre323,sre323,4,4,are,are,can,can,you,you,treament,treament,the,the,medical,medical,treament,treament,a,a,you,you,you,you,to,to,study,study,up,up,about,about,Data,Data,and,and,the,the,interest,interest,under,under,a,a,research,research,the,the,routine,routine,process,process,clinics,clinics,and,and,the,the,will,will,that,that,record,record,to,to,process,process,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,Data,Data,and,and,archiving,archiving,interest,interest,purposes,purposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
91,91,sre324,sre324,1,1,limited,limited,randomised,randomised,routine,routine,for,for,with,with,By,By,that,that,a,a,you,you,you,you,to,to,study,study,up,up,about,about,for,for,signs,signs,and,and,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,process,process,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
92,92,sre324,sre324,2,2,to,to,have,have,collected,collected,for,for,the,the,medical,medical,such,such,the,the,will,will,number,number,contact,contact,study,study,your,your,is,is,and,and,signs,signs,and,and,can,can,identifies,identifies,who,who,to,to,process,process,or,or,process,process,study,study,and,and,to,to,we,we,how,how,treatment,treatment,find,find,process,process,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
93,93,sre324,sre324,3,3,as,as,will,will,different,different,in,in,treatment,treatment,for,for,of,of,leaflet,leaflet,take,take,and,and," researcher"," researcher",return,return,the,the,the,the,for,for,signs,signs,and,and,researcher,researcher,return,return,University,University,envelope,envelope,you,you,take,take,so,so,research,research,know,know,for,for,autirized,autirized,but,but,with,with,that,that,types,types,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
94,94,sre324,sre324,4,4,are,are,will,will,we,we,treament,treament,the,the,medical,medical,treament,treament,other,other,you,you,you,you,contact,contact,study,study,up,up,about,about,Data,Data,of,of,the,the,interest,interest,identifies,identifies,University,University,research,research,the,the,routine,routine,process,process,study,study,and,and,the,the,will,will,that,that,with,with,to,to,process,process,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,Data,Data,and,and,archiving,archiving,interest,interest,purposes,purposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
95,95,sre322,sre322,1,1,,,,,,,,,,,,,which,which,a,a,confiadly,confiadly,your,your,needed,needed,,,frequently,frequently,,,,,diagnosis,diagnosis,infection,infection,case,case,cite,cite,a,a,diseases,diseases,detected,detected,a,a,right,right,medic,medic,decision,decision,then,then,obtain,obtain,near,near,will,will,us,us,to,to,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
96,96,sre322,sre322,2,2,,,,,,,futher,futher,physical,physical,,,,,,,would,would,,,,,team,team,,,,,,,,,and,and,have,have,,,,,to,to,,,,,,,,,,,,,,,,,,,,,,,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
97,97,sre322,sre322,3,3,as,as,,,,,,,,,by,by,of,of,leaflet,leaflet,take,take,and,and,,,,,the,the,the,the,to,to,please,please,and,and,,,,,University,University,envelope,envelope,,,take,take,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
98,98,sre326,sre326,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
100,100,sre326,sre326,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
101,101,sre326,sre326,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
102,102,sre28,sre28,1,1,1,1,2,2,3,3,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,29,29,30,30,31,31,32,32,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
103,103,a,a,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
104,104,a,a,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
105,105,A23NIUKMYWIF8Y,A23NIUKMYWIF8Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
106,106,A2R2VPLX22ZSFF,A2R2VPLX22ZSFF,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
107,107,A1M6R096JU7XRA,A1M6R096JU7XRA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
108,108,A3CL8BIXGO8JAC,A3CL8BIXGO8JAC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
109,109,A143CSYPJV50HW,A143CSYPJV50HW,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
110,110,A3PIBGJHHSSYKF,A3PIBGJHHSSYKF,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
111,111,A16QZJ5IDIHYUK,A16QZJ5IDIHYUK,1,1,lungs,lungs,lungs,lungs,test,test,for,for,cases,cases,influenza,influenza,taken,taken,the,the,you,you,you,you,to,to,mouth,mouth,phlegm,phlegm,about,about,and,and,results,results,matched,matched,disease,disease,like,like,a,a,illneses,illneses,have,have,testing,testing,will,will,care,care,even,even,then,then,gain,gain,close,close,would,would,we,we,fully,fully,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
112,112,A2O7LF9FQI73ZY,A2O7LF9FQI73ZY,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
113,113,A3CHJ1MNTFH6K3,A3CHJ1MNTFH6K3,1,1,body,body,sex,sex,leg,leg,youth,youth,medicine,medicine,yes,yes,a,a,a,a,a,a,you,you,a,a,o,o,a,a,a,a,i,i,were,were,like,like,a,a,like,like,the,the,a,a,yes,yes,kike,kike,energy,energy,work,work,a,a,a,a,a,a,a,a,a,a,a,a,a,a,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
114,114,A17VJ00S5DQGS4,A17VJ00S5DQGS4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
115,115,A1F1XTAZQAVNAI,A1F1XTAZQAVNAI,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
116,116,A1X8UBJ3IA1T1,A1X8UBJ3IA1T1,1,1,loss,loss,,,,,,,with,with,,,which,which,influenza,influenza,you,you,you,you,to,to,and,and,up,up,about,about,for,for,signs,signs,associated,associated,illness,illness,want,want,a,a,illnesses,illnesses,have,have,a,a,capacity,capacity,clinical,clinical,some,some,then,then,gain,gain,close,close,would,would,we,we,you're,you're,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
117,117,A33UFT5HSU412H,A33UFT5HSU412H,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
118,118,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
</tbody></table>
